,sigma,mae_nn_train,mae_nn_test,mae_mdl_train,mae_mdl_test,rmse_nn_train,rmse_nn_test,rmse_mdl_train,rmse_mdl_test,mae_nn_train_std,mae_nn_test_std,mae_mdl_train_std,mae_mdl_test_std,rmse_nn_train_std,rmse_nn_test_std,rmse_mdl_train_std,rmse_mdl_test_std,mae_nn_train_sdm,mae_nn_test_sdm,mae_mdl_train_sdm,mae_mdl_test_sdm,rmse_nn_train_sdm,rmse_nn_test_sdm,rmse_mdl_train_sdm,rmse_mdl_test_sdm
0,0.02,0.024488245633281547,0.1266480573475791,0.008538075506744012,12.255277800551633,0.04064025812377981,0.1316646500901463,0.011169149941596393,35.11931791056458,0.021988007347406274,0.14898028518323428,0.003357543501871209,45.14056837441953,0.040457535450723336,0.14917857394687473,0.003823595168730934,131.6494312386128,0.004231593986989494,0.02867126925149584,0.0006461595482070737,8.687306434114607,0.007786056327741315,0.02870942994185087,0.0007358512333129857,25.335944854758075
1,0.04,0.02355168254811418,0.10651425348590485,0.01831913752595193,0.07384092152122877,0.03296770478584299,0.11308359368052753,0.02255428054979141,0.08726131129046487,0.01120748678224277,0.09539709763330573,0.008796400423136841,0.07365976114546256,0.017230129146524848,0.09841731710172574,0.010575923283769642,0.08772654259376808,0.002156881836889012,0.018359179999499358,0.0016928680507325977,0.014175827641925449,0.003315939900306046,0.018940421507200704,0.002035337384937745,0.01688298099386239
2,0.06,0.03051651931642856,0.19609346321241583,0.02840053386171052,0.1818815125213761,0.04369491858699091,0.20891995873028874,0.03535177703922229,0.2146792938857968,0.014476632202939236,0.1735992188836419,0.012742847021988326,0.26205395437597534,0.026467368363138212,0.17689345301954235,0.015893041561146917,0.32385178110513035,0.002786029166442058,0.03340918525119314,0.002452362052795727,0.05043230703372509,0.005093647416399611,0.0340431609062384,0.0030586172745233607,0.06232530433286226
3,0.08,0.04023575268276251,0.11898401991429099,0.03767172746986529,0.2752581374259642,0.05473158119887838,0.12408650395697979,0.0468542949453571,0.33468005030078823,0.011212213866426513,0.1113704671218184,0.02273050980461784,0.3660068654758657,0.01810173665728676,0.11096114352417871,0.02652045686759456,0.4572164461159752,0.002157791564664334,0.021433256390852074,0.004374488651504513,0.07043805410258074,0.003483680843961409,0.02135448202775776,0.0051038643038458596,0.0879913460809941
4,0.1,0.046230366110548676,0.22475670663437375,0.04062878822609732,0.1984707082448617,0.06779325319870765,0.23147926590280984,0.05211499595063544,0.2410019532571906,0.018965627388042198,0.22836271084952783,0.016782913950830314,0.3110644389263264,0.04202113296232689,0.22900413060681313,0.02129189718468638,0.3914075029664067,0.0036499366926121004,0.04394842419394919,0.003229873295766069,0.059864379183144814,0.008086970809150829,0.04407186548379326,0.004097627523712172,0.07532640906683138
5,0.12,0.05455249935853367,0.20038763732020815,0.04935740322684089,0.5161457347052081,0.0767085170352199,0.20513744852623705,0.061819771318686774,0.6900875419516024,0.019318840639197588,0.16919150112296338,0.021303595045215905,1.073775928941019,0.03046458856705325,0.16818119985092025,0.022739957462316378,1.710149252626482,0.0037179126144907364,0.03256091957264659,0.004099878778020727,0.20664827387447923,0.005862912803313129,0.03236648700218769,0.004376306854076333,0.3291183771194456
6,0.14,0.06508558825148214,0.14458457186737173,0.058810110696744494,0.32539208535509606,0.0895616045014853,0.15199893483611862,0.07617671444215797,0.38080021956780613,0.023162878972526307,0.13999963634217036,0.03161429909913456,0.4195655873948518,0.0372835632556701,0.14400993444581128,0.0365367929707754,0.522388606435227,0.004457698136664929,0.026942942576200588,0.00608417469837556,0.08074543494170704,0.007175225094003191,0.027714724806089833,0.0070315090856676015,0.10053373418232392
7,0.16,0.06755670178234509,0.29778134071254,0.056737611265978864,0.1959929395683987,0.09314620262594812,0.31095931258282206,0.06820810004527679,0.2083971335091064,0.03463340584066649,0.2671086750188842,0.036489626802030134,0.13134413150356586,0.054084345003786935,0.26767246452175086,0.04238230549792883,0.13547488082969603,0.0066652020616874506,0.05140508847501235,0.00702243195226036,0.025277189893353785,0.010408537048960326,0.0515135898154278,0.008156478496035388,0.026072152971819158
8,0.18,0.09532926975416557,0.3201976794217917,0.08677979587640665,0.38081346215668765,0.1292719624015038,0.33874290569114507,0.10872889956210989,0.4228715430269675,0.028531298722475222,0.43215404205771946,0.03370190107125716,0.2813386663548348,0.044289792674324355,0.4563949787283838,0.03647852329762458,0.31580293114384395,0.005490850999250231,0.08316808417113639,0.006485933885230819,0.05414365158447139,0.008523574574291294,0.08783325460854197,0.007020295081841195,0.06077630243559038
9,0.2,0.1007260995287585,0.4222348919310605,0.06997713213762966,3.570580798584013e+30,0.14146378590184916,0.43468834411067,0.09354989377094146,1.6361611154340166e+31,0.047033409012772205,0.5211224200534098,0.02980259925607876,1.9556876467792741e+31,0.08431933084951472,0.526538245143317,0.03341495877941912,8.96162350636025e+31,0.009051583784809934,0.10029005649952846,0.005735512901015871,3.7637226310627987e+30,0.016227262787952147,0.10133233252404242,0.006430711815419292,1.7246652479243896e+31
